연월일,읍면동,법정동리,인구(계),인구(남),인구(여),세대수,기준일자
2020-11-30,장흥면,삼상리,1015,553,462,483,2022-12-20
2020-11-30,장흥면,삼하리,693,376,317,332,2022-12-20
2020-11-30,양주1동,유양동,708,392,316,382,2022-12-20
2020-11-30,양주1동,어둔동,325,174,151,153,2022-12-20
2020-11-30,양주1동,남방동,1172,616,556,696,2022-12-20
2020-11-30,양주1동,마전동,569,302,267,298,2022-12-20
2020-11-30,양주1동,산북동,2616,1333,1283,1203,2022-12-20
2020-11-30,양주2동,광사동,11525,5792,5733,4659,2022-12-20
2020-11-30,양주2동,만송동,9383,4413,4970,4004,2022-12-20
2020-11-30,양주2동,삼숭동,20277,9975,10302,7238,2022-12-20
2020-11-30,양주2동,고읍동,9169,4439,4730,3167,2022-12-20
2020-11-30,회천1동,덕정동,8501,4348,4153,3857,2022-12-20
2020-11-30,회천1동,봉양동,1309,818,491,829,2022-12-20
2020-11-30,회천2동,덕계동,21856,11088,10768,9272,2022-12-20
2020-11-30,회천2동,회정동,5300,2691,2609,2214,2022-12-20
2020-11-30,회천3동,덕정동,10482,5192,5290,3709,2022-12-20
2020-11-30,회천3동,고암동,17225,8546,8679,7198,2022-12-20
2020-11-30,회천4동,회암동,959,560,399,545,2022-12-20
2020-11-30,회천4동,율정동,553,340,213,357,2022-12-20
2020-11-30,회천4동,옥정동,46448,23298,23150,18649,2022-12-20
2020-12-31,백석읍,방성리,6366,3314,3052,3130,2022-12-20
2020-12-31,백석읍,오산리,3552,1814,1738,1590,2022-12-20
2020-12-31,백석읍,복지리,9565,4679,4886,3543,2022-12-20
2020-12-31,백석읍,가업리,4880,2409,2471,2049,2022-12-20
2020-12-31,백석읍,홍죽리,888,487,401,479,2022-12-20
2020-12-31,백석읍,연곡리,687,378,309,348,2022-12-20
2020-12-31,백석읍,기산리,493,267,226,352,2022-12-20
2020-12-31,은현면,용암리,1306,746,560,678,2022-12-20
2020-12-31,은현면,선암리,1206,695,511,639,2022-12-20
2020-12-31,은현면,운암리,763,438,325,403,2022-12-20
2020-12-31,은현면,봉암리,952,541,411,528,2022-12-20
2020-12-31,은현면,하패리,1020,570,450,536,2022-12-20
2020-12-31,은현면,도하리,722,407,315,386,2022-12-20
2020-12-31,남면,신산리,3122,1703,1419,1566,2022-12-20
2020-12-31,남면,신암리,342,187,155,198,2022-12-20
2020-12-31,남면,매곡리,340,154,186,190,2022-12-20
2020-12-31,남면,구암리,399,228,171,219,2022-12-20
2020-12-31,남면,두곡리,149,84,65,102,2022-12-20
2020-12-31,남면,경신리,295,192,103,183,2022-12-20
2020-12-31,남면,상수리,1045,617,428,618,2022-12-20
2020-12-31,남면,입암리,415,252,163,251,2022-12-20
2020-12-31,남면,한산리,568,315,253,312,2022-12-20
2020-12-31,남면,황방리,329,183,146,163,2022-12-20
2020-12-31,광적면,가납리,5343,2858,2485,2594,2022-12-20
2020-12-31,광적면,광석리,1403,737,666,617,2022-12-20
2020-12-31,광적면,우고리,656,279,377,249,2022-12-20
2020-12-31,광적면,비암리,364,180,184,204,2022-12-20
2020-12-31,광적면,효촌리,559,316,243,279,2022-12-20
2020-12-31,광적면,덕도리,893,522,371,488,2022-12-20
2020-12-31,광적면,석우리,2730,1544,1186,1500,2022-12-20
2020-12-31,장흥면,교현리,1101,616,485,514,2022-12-20
2020-12-31,장흥면,울대리,756,431,325,377,2022-12-20
2020-12-31,장흥면,부곡리,3767,1846,1921,1732,2022-12-20
2020-12-31,장흥면,석현리,409,209,200,249,2022-12-20
2020-12-31,장흥면,일영리,2699,1327,1372,1377,2022-12-20
2020-12-31,장흥면,삼상리,1021,556,465,482,2022-12-20
2020-12-31,장흥면,삼하리,689,373,316,334,2022-12-20
2020-12-31,양주1동,유양동,706,391,315,379,2022-12-20
2020-12-31,양주1동,어둔동,326,175,151,152,2022-12-20
2020-12-31,양주1동,남방동,1160,613,547,688,2022-12-20
2020-12-31,양주1동,마전동,565,303,262,298,2022-12-20
2020-12-31,양주1동,산북동,2620,1340,1280,1205,2022-12-20
2020-12-31,양주2동,광사동,11610,5838,5772,4722,2022-12-20
2020-12-31,양주2동,만송동,9384,4412,4972,4007,2022-12-20
2020-12-31,양주2동,삼숭동,20225,9955,10270,7240,2022-12-20
2020-12-31,양주2동,고읍동,9150,4423,4727,3161,2022-12-20
2020-12-31,회천1동,덕정동,8500,4352,4148,3861,2022-12-20
2020-12-31,회천1동,봉양동,1300,815,485,826,2022-12-20
2020-12-31,회천2동,덕계동,21887,11108,10779,9281,2022-12-20
2020-12-31,회천2동,회정동,5293,2691,2602,2218,2022-12-20
2020-12-31,회천3동,덕정동,10481,5198,5283,3712,2022-12-20
2020-12-31,회천3동,고암동,17245,8558,8687,7219,2022-12-20
2020-12-31,회천4동,회암동,967,563,404,548,2022-12-20
2020-12-31,회천4동,율정동,555,344,211,362,2022-12-20
2020-12-31,회천4동,옥정동,46591,23383,23208,18660,2022-12-20
2021-01-31,백석읍,방성리,6370,3325,3045,3151,2022-12-20
2021-01-31,백석읍,오산리,3537,1808,1729,1590,2022-12-20
2021-01-31,백석읍,복지리,9540,4668,4872,3544,2022-12-20
2021-01-31,백석읍,가업리,4874,2406,2468,2046,2022-12-20
2021-01-31,백석읍,홍죽리,886,485,401,480,2022-12-20
2021-01-31,백석읍,연곡리,693,382,311,349,2022-12-20
2021-01-31,백석읍,기산리,496,272,224,360,2022-12-20
2021-01-31,은현면,용암리,1308,747,561,683,2022-12-20
2021-01-31,은현면,선암리,1201,691,510,638,2022-12-20
2021-01-31,은현면,운암리,764,438,326,405,2022-12-20
2021-01-31,은현면,봉암리,948,537,411,529,2022-12-20
2021-01-31,은현면,하패리,1023,573,450,540,2022-12-20
2021-01-31,은현면,도하리,725,408,317,390,2022-12-20
2021-01-31,남면,신산리,3107,1698,1409,1574,2022-12-20
2021-01-31,남면,신암리,347,191,156,203,2022-12-20
2021-01-31,남면,매곡리,327,150,177,178,2022-12-20
2021-01-31,남면,구암리,397,227,170,220,2022-12-20
2021-01-31,남면,두곡리,148,83,65,101,2022-12-20
2021-01-31,남면,경신리,298,191,107,182,2022-12-20
2021-01-31,남면,상수리,1035,610,425,615,2022-12-20
2021-01-31,남면,입암리,415,252,163,251,2022-12-20
2021-01-31,남면,한산리,570,315,255,313,2022-12-20
2021-01-31,남면,황방리,326,180,146,160,2022-12-20
2021-01-31,광적면,가납리,5363,2868,2495,2608,2022-12-20
2021-01-31,광적면,광석리,1402,736,666,618,2022-12-20
2021-01-31,광적면,우고리,655,277,378,249,2022-12-20
2021-01-31,광적면,비암리,364,180,184,207,2022-12-20
2021-01-31,광적면,효촌리,561,317,244,277,2022-12-20
2021-01-31,광적면,덕도리,892,521,371,490,2022-12-20
2021-01-31,광적면,석우리,2729,1547,1182,1506,2022-12-20
2021-01-31,장흥면,교현리,1107,624,483,519,2022-12-20
2021-01-31,장흥면,울대리,755,429,326,375,2022-12-20
2021-01-31,장흥면,부곡리,3759,1836,1923,1737,2022-12-20
2021-01-31,장흥면,석현리,409,210,199,251,2022-12-20
2021-01-31,장흥면,일영리,2696,1321,1375,1373,2022-12-20
2021-01-31,장흥면,삼상리,1010,549,461,479,2022-12-20
2021-01-31,장흥면,삼하리,686,369,317,333,2022-12-20
2021-01-31,양주1동,유양동,706,391,315,381,2022-12-20
2021-01-31,양주1동,어둔동,330,177,153,156,2022-12-20
2021-01-31,양주1동,남방동,1156,613,543,687,2022-12-20
2021-01-31,양주1동,마전동,569,306,263,304,2022-12-20
2021-01-31,양주1동,산북동,2609,1329,1280,1199,2022-12-20
2021-01-31,양주2동,광사동,11632,5861,5771,4764,2022-12-20
2021-01-31,양주2동,만송동,9334,4384,4950,3990,2022-12-20
2021-01-31,양주2동,삼숭동,20186,9927,10259,7231,2022-12-20
2021-01-31,양주2동,고읍동,9133,4425,4708,3153,2022-12-20
